,Name,Height,Weight,Position,Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Nation,League,Team
791,Boulaye Dia,"180cm / 5'11""",75kg / 165lb,ST,Right,81,80,62,77,27,75,28,Senegal,Serie A Enilive,Latium
792,Samuel Lino,"170cm / 5'7""",69kg / 152lb,LM,Right,83,70,73,80,51,66,25,Brazil,LALIGA EA SPORTS,Atlético de Madrid
793,Lucas Digne,"178cm / 5'10""",74kg / 163lb,LB,Left,73,68,78,76,76,74,31,France,Premier League,Aston Villa
794,Stole Dimitrievski,"188cm / 6'2""",84kg / 185lb,GK,Right,78,80,74,79,36,78,31,North Macedonia,LALIGA EA SPORTS,Valencia CF
795,Axel Disasi,"190cm / 6'3""",86kg / 190lb,CB,Right,57,48,60,59,80,81,26,France,Premier League,Chelsea
796,Alexander Djiku,"182cm / 6'0""",81kg / 179lb,CB,Right,75,43,67,69,79,81,30,Ghana,Trendyol Süper Lig,Fenerbahçe
797,Cheick Doucouré,"180cm / 5'11""",73kg / 161lb,CDM,Right,65,57,70,75,76,76,25,Mali,Premier League,Crystal Palace
798,Lewis Dunk,"192cm / 6'4""",88kg / 194lb,CB,Right,41,52,68,65,80,80,33,England,Premier League,Brighton
799,Hugo Duro,"177cm / 5'10""",70kg / 154lb,ST,Left,73,79,67,76,47,75,25,Spain,LALIGA EA SPORTS,Valencia CF
800,Lauren,"178cm / 5'10""",65kg / 143lb,CB,Right,72,33,56,63,82,74,22,Brazil,Liga F,Atlético de Madrid
801,Marcus Edwards,"168cm / 5'6""",65kg / 143lb,RW,Left,85,70,72,85,30,48,26,England,Liga Portugal,Sporting CP
802,Stephan El Shaarawy,"178cm / 5'10""",73kg / 161lb,LM,Right,82,75,76,83,49,62,32,Italy,Serie A Enilive,AS Roma
803,Eljif Elmas,"184cm / 6'0""",78kg / 172lb,CAM,Right,73,72,74,82,66,67,25,North Macedonia,Bundesliga,RB Leipzig
804,Aritz Elustondo,"180cm / 5'11""",71kg / 157lb,RB,Right,64,39,64,61,80,77,30,Spain,LALIGA EA SPORTS,Real Sociedad
805,Meret Felde,"170cm / 5'7""",63kg / 139lb,CM,Left,55,71,76,75,71,71,25,Germany,GPFBL,SC Freiburg
806,Jana Feldkamp,"171cm / 5'7""",60kg / 132lb,CDM,Right,72,63,67,74,81,77,26,Germany,GPFBL,TSG Hoffenheim
807,Lewis Ferguson,"181cm / 5'11""",75kg / 165lb,CM,Right,75,78,75,80,73,82,25,Scotland,Serie A Enilive,Bologna
808,Mark Flekken,"195cm / 6'5""",87kg / 192lb,GK,Right,80,74,83,82,32,77,31,Holland,Premier League,Brentford
809,Louise Fleury,"167cm / 5'6""",59kg / 130lb,LM,Left,85,73,75,78,44,65,27,France,Arkema PL,FC Nantes
810,Emil Forsberg,"177cm / 5'10""",76kg / 168lb,CAM,Right,65,72,81,81,36,61,33,Sweden,MLS,Red Bulls
811,Chris Führich,"181cm / 5'11""",70kg / 154lb,LM,Right,83,69,72,85,51,59,27,Germany,Bundesliga,VfB Stuttgart
812,Rocío Gálvez,"174cm / 5'9""",68kg / 150lb,CB,Right,69,29,54,65,79,77,27,Spain,Liga F,Real Madrid CF
813,Shei,"162cm / 5'4""",49kg / 108lb,RB,Right,85,75,73,80,73,68,27,Spain,Liga F,Real Madrid CF
814,Álvaro García,"167cm / 5'6""",61kg / 134lb,LM,Left,88,69,75,78,51,43,32,Spain,LALIGA EA SPORTS,Rayo Vallecano
815,Alejandro Garnacho,"180cm / 5'11""",72kg / 159lb,LM,Right,86,75,72,81,37,59,20,Argentina,Premier League,Man Utd
816,Lutsharel Geertruida,"185cm / 6'1""",70kg / 154lb,CB,Right,75,57,70,76,79,78,24,Holland,Bundesliga,RB Leipzig
817,Morgan Gibbs-White,"179cm / 5'10""",72kg / 159lb,CAM,Right,75,74,79,80,57,69,25,England,Premier League,Nott'm Forest
818,Carles Gil,"170cm / 5'7""",65kg / 143lb,CAM,Left,70,71,80,79,38,62,32,Spain,MLS,New England
819,Gemma Gili,"175cm / 5'9""",58kg / 128lb,CM,Right,64,71,74,76,74,79,30,Spain,Liga F,Sevilla FC
820,Santiago Giménez,"182cm / 6'0""",69kg / 152lb,ST,Left,79,80,70,76,49,75,23,Mexico,Eredivisie,Feyenoord
821,Moi Gómez,"176cm / 5'9""",73kg / 161lb,CM,Right,66,75,80,78,61,61,30,Spain,LALIGA EA SPORTS,CA Osasuna
822,João Neves,"174cm / 5'9""",66kg / 146lb,CM,Right,81,68,75,80,75,80,20,Portugal,Ligue 1 McDonald's,Paris SG
823,Robin Gosens,"183cm / 6'0""",76kg / 168lb,LB,Left,72,74,73,75,76,80,30,Germany,Serie A Enilive,Fiorentina
824,Dominika Grabowska,"165cm / 5'5""",55kg / 121lb,CM,Left,65,72,81,83,63,63,26,Poland,GPFBL,TSG Hoffenheim
825,Mason Greenwood,"181cm / 5'11""",70kg / 154lb,RM,Left,83,80,75,81,36,60,23,England,Ligue 1 McDonald's,OM
826,Jackie Groenen,"165cm / 5'5""",60kg / 132lb,CM,Right,79,65,81,80,71,72,30,Holland,Arkema PL,Paris SG
827,Maria-Luisa Grohs,"180cm / 5'11""",70kg / 154lb,GK,Right,77,78,74,77,54,79,23,Germany,GPFBL,FC Bayern München
828,Shea Groom,"168cm / 5'6""",60kg / 132lb,CM,Right,80,73,78,77,61,59,32,United States,NWSL,Chicago Red Stars
829,Guruzeta,"188cm / 6'2""",80kg / 176lb,ST,Right,75,79,71,78,42,80,28,Spain,LALIGA EA SPORTS,Athletic Club
830,Sébastien Haller,"191cm / 6'3""",90kg / 198lb,ST,Right,56,79,63,75,51,73,30,Côte d'Ivoire,LALIGA EA SPORTS,CD Leganés
831,Isabella Hartig,"171cm / 5'7""",61kg / 134lb,CM,Right,68,71,75,77,72,78,27,Germany,GPFBL,TSG Hoffenheim
832,Dean Henderson,"188cm / 6'2""",85kg / 187lb,GK,Right,80,76,78,81,55,75,27,England,Premier League,Crystal Palace
833,Franck Honorat,"180cm / 5'11""",70kg / 154lb,RM,Right,80,77,77,78,53,63,28,France,Bundesliga,M'gladbach
834,Hiroki Ito,"188cm / 6'2""",84kg / 185lb,CB,Left,77,57,71,72,80,75,25,Japan,Bundesliga,FC Bayern München
835,Nicolas Jackson,"187cm / 6'2""",78kg / 172lb,ST,Right,83,78,65,80,40,73,23,Senegal,Premier League,Chelsea
836,Oriane Jean-François,"164cm / 5'5""",58kg / 128lb,CDM,Right,71,67,71,72,79,74,23,France,Barclays WSL,Chelsea
837,Stina Johannes,"177cm / 5'10""",66kg / 146lb,GK,Right,77,78,76,76,52,79,25,Germany,GPFBL,Frankfurt
838,Curtis Jones,"185cm / 6'1""",75kg / 165lb,CM,Right,68,71,75,81,70,75,24,England,Premier League,Liverpool
839,Luka Jović,"181cm / 5'11""",85kg / 187lb,ST,Right,75,79,68,79,30,72,27,Serbia,Serie A Enilive,Milano FC
840,İrfan Can Kahveci,"176cm / 5'9""",75kg / 165lb,RW,Left,73,79,79,80,58,66,29,Turkey,Trendyol Süper Lig,Fenerbahçe
841,Alanna Kennedy,"177cm / 5'10""",66kg / 146lb,CB,Right,49,46,71,65,80,76,30,Australia,Barclays WSL,Manchester City
842,Lukas Klostermann,"187cm / 6'2""",88kg / 194lb,CB,Right,82,50,64,70,81,76,28,Germany,Bundesliga,RB Leipzig
843,Robin Koch,"191cm / 6'3""",85kg / 187lb,CB,Right,65,38,61,65,80,76,28,Germany,Bundesliga,Frankfurt
844,Sead Kolašinac,"183cm / 6'0""",85kg / 187lb,CB,Left,64,63,67,68,79,83,31,Bosnia and Herzegovina,Serie A Enilive,Bergamo Calcio
845,Geoffrey Kondogbia,"188cm / 6'2""",76kg / 168lb,CM,Left,67,71,75,75,80,88,32,Central African Republic,Ligue 1 McDonald's,OM
846,Melissa Kössler,"178cm / 5'10""",66kg / 146lb,ST,Right,82,80,68,76,45,78,25,Germany,GPFBL,TSG Hoffenheim
847,Erik Lamela,"184cm / 6'0""",75kg / 165lb,RW,Left,76,77,78,82,54,68,33,Argentina,Hellas Liga,AEK Athens
848,Noa Lang,"179cm / 5'10""",69kg / 152lb,LW,Right,82,75,72,84,50,70,25,Holland,Eredivisie,PSV
849,Manuel Lazzari,"174cm / 5'9""",67kg / 148lb,RB,Right,93,62,76,82,70,66,31,Italy,Serie A Enilive,Latium
850,Lee Kang In,"173cm / 5'8""",66kg / 146lb,CAM,Left,74,74,80,82,50,66,24,Korea Republic,Ligue 1 McDonald's,Paris SG
851,Pierre Lees-Melou,"186cm / 6'1""",70kg / 154lb,CDM,Right,62,72,78,77,73,76,31,France,Ligue 1 McDonald's,Stade Brestois 29
852,Mario Lemina,"184cm / 6'0""",85kg / 187lb,CDM,Right,69,67,75,75,78,80,31,Gabon,Premier League,Wolves
853,Martina Lenzini,"173cm / 5'8""",63kg / 139lb,RB,Right,74,40,70,67,79,76,26,Italy,Calcio A Femminile,Juventus
854,Jefferson Lerma,"179cm / 5'10""",70kg / 154lb,CDM,Right,72,71,71,74,77,81,30,Colombia,Premier League,Crystal Palace
855,Elene Lete,"173cm / 5'8""",66kg / 146lb,GK,Right,80,75,75,80,54,78,22,Spain,Liga F,Real Sociedad
856,Marie Levasseur,"172cm / 5'8""",63kg / 139lb,RB,Right,74,66,65,74,77,74,27,Canada,Arkema PL,Montpellier
857,Philipp Lienhart,"189cm / 6'2""",85kg / 187lb,CB,Right,69,28,59,64,81,75,28,Austria,Bundesliga,SC Freiburg
858,Matheus,"190cm / 6'3""",84kg / 185lb,GK,Right,82,75,81,80,45,77,32,Brazil,Liga Portugal,SC Braga
859,Katie Lind,"178cm / 5'10""",66kg / 146lb,CB,Right,53,43,57,63,83,69,31,United States,NWSL,Houston Dash
860,Hugo Lloris,"188cm / 6'2""",82kg / 181lb,GK,Left,81,76,67,82,54,78,38,France,MLS,LAFC
861,Pedro Neto,"172cm / 5'8""",62kg / 137lb,RW,Left,88,74,72,83,31,59,25,Portugal,Premier League,Chelsea
862,Anthony Lopes,"184cm / 6'0""",81kg / 179lb,GK,Left,80,76,69,83,65,76,34,Portugal,Ligue 1 McDonald's,OL
863,Maitane,"176cm / 5'9""",61kg / 134lb,CB,Right,70,63,76,74,79,83,29,Spain,NWSL,NJ/NY Gotham
864,Pau López,"189cm / 6'2""",77kg / 170lb,GK,Left,77,77,79,82,48,80,30,Spain,LALIGA EA SPORTS,Girona FC
865,Castello Lukeba,"184cm / 6'0""",73kg / 161lb,CB,Left,70,43,68,73,80,73,22,France,Bundesliga,RB Leipzig
866,Dodi Lukébakio,"187cm / 6'2""",77kg / 170lb,RW,Left,84,78,70,82,31,59,27,Belgium,LALIGA EA SPORTS,Sevilla FC
867,Robert Sánchez,"197cm / 6'6""",90kg / 198lb,GK,Right,79,77,75,80,58,79,27,Spain,Premier League,Chelsea
868,Ian Maatsen,"178cm / 5'10""",63kg / 139lb,LB,Left,86,65,75,81,72,63,23,Holland,Premier League,Aston Villa
869,Pablo Maffeo,"172cm / 5'8""",70kg / 154lb,RB,Right,82,52,70,79,76,70,27,Argentina,LALIGA EA SPORTS,RCD Mallorca
870,José Sá,"192cm / 6'4""",84kg / 185lb,GK,Right,80,75,70,81,52,78,32,Portugal,Premier League,Wolves
871,Noëlle Maritz,"165cm / 5'5""",58kg / 128lb,RB,Right,77,47,75,72,79,73,29,Switzerland,Barclays WSL,Aston Villa
872,Omar Marmoush,"183cm / 6'0""",81kg / 179lb,ST,Right,89,78,66,83,32,71,26,Egypt,Bundesliga,Frankfurt
873,Arnau Martínez,"182cm / 6'0""",72kg / 159lb,RB,Right,80,50,72,74,74,70,21,Spain,LALIGA EA SPORTS,Girona FC
874,Adam Marušić,"185cm / 6'1""",81kg / 179lb,LB,Right,87,66,67,74,76,80,32,Montenegro,Serie A Enilive,Latium
875,Jean-Philippe Mateta,"192cm / 6'4""",88kg / 194lb,ST,Right,76,78,63,73,39,82,27,France,Premier League,Crystal Palace
876,Sarah Mayling,"166cm / 5'5""",58kg / 128lb,RB,Right,70,59,71,71,78,76,27,England,Barclays WSL,Aston Villa
877,Borja Mayoral,"182cm / 6'0""",74kg / 163lb,ST,Right,71,80,71,77,39,67,27,Spain,LALIGA EA SPORTS,Getafe CF
878,Chancel Mbemba,"182cm / 6'0""",81kg / 179lb,CB,Right,73,57,65,68,80,81,30,Congo DR,Ligue 1 McDonald's,OM
879,Callum McGregor,"178cm / 5'10""",74kg / 163lb,CDM,Left,79,74,77,80,71,78,31,Scotland,Scottish Prem,Celtic
880,Kristen McNabb,"164cm / 5'5""",57kg / 126lb,LB,Left,75,49,71,73,77,64,30,United States,NWSL,San Diego Wave
881,Medrán,"178cm / 5'10""",71kg / 157lb,CM,Right,60,71,82,79,63,69,30,Spain,ROSHN Saudi League,Ettifaq FC
882,Maria Méndez,"173cm / 5'8""",65kg / 143lb,CB,Right,76,55,69,65,79,76,23,Spain,Liga F,Real Madrid CF
883,Kristie Mewis,"170cm / 5'7""",64kg / 141lb,CM,Left,84,72,76,81,59,79,34,United States,Barclays WSL,West Ham
884,Nikola Milenković,"195cm / 6'5""",90kg / 198lb,CB,Right,58,45,62,62,79,82,27,Serbia,Premier League,Nott'm Forest
885,Moeka Minami,"172cm / 5'8""",62kg / 137lb,CB,Right,64,56,58,70,80,73,26,Japan,Calcio A Femminile,Roma
886,Takumi Minamino,"172cm / 5'8""",67kg / 148lb,CAM,Right,79,74,75,82,40,64,30,Japan,Ligue 1 McDonald's,AS Monaco
887,Tyrone Mings,"196cm / 6'5""",77kg / 170lb,CB,Left,64,44,67,64,78,80,31,England,Premier League,Aston Villa
888,Maximilian Mittelstädt,"180cm / 5'11""",71kg / 157lb,LB,Left,74,62,72,77,77,72,27,Germany,Bundesliga,VfB Stuttgart
889,Caroline Møller,"178cm / 5'10""",64kg / 141lb,ST,Right,76,78,70,79,45,75,26,Denmark,Liga F,Real Madrid CF
890,Álex Moreno,"179cm / 5'10""",68kg / 150lb,LB,Left,79,66,74,77,76,68,31,Spain,Premier League,Nott'm Forest
891,Hidemasa Morita,"177cm / 5'10""",69kg / 152lb,CM,Right,69,72,76,79,74,77,29,Japan,Liga Portugal,Sporting CP
892,Florentino,"184cm / 6'0""",76kg / 168lb,CDM,Right,55,47,65,73,79,78,25,Portugal,Liga Portugal,SL Benfica
893,Hany Mukhtar,"173cm / 5'8""",71kg / 157lb,CAM,Right,82,75,77,80,44,64,29,Germany,MLS,Nashville SC
894,Nordi Mukiele,"187cm / 6'2""",84kg / 185lb,RB,Right,77,49,68,71,80,80,27,France,Bundesliga,Leverkusen
895,Marie Müller,"168cm / 5'6""",60kg / 132lb,LB,Right,81,69,78,80,76,69,24,Germany,NWSL,Portland Thorns
896,Zećira Mušović,"180cm / 5'11""",73kg / 161lb,GK,Right,80,82,79,75,40,77,28,Sweden,Barclays WSL,Chelsea
897,Juan Musso,"191cm / 6'3""",93kg / 205lb,GK,Right,79,77,73,82,44,81,30,Argentina,LALIGA EA SPORTS,Atlético de Madrid
898,Adriana Nanclares,"170cm / 5'7""",52kg / 115lb,GK,Left,80,75,70,81,45,78,22,Spain,Liga F,Athletic Club
899,Galeno,"179cm / 5'10""",62kg / 137lb,LM,Right,93,76,70,82,38,68,27,Brazil,Liga Portugal,FC Porto
900,Kika Nazareth,"170cm / 5'7""",67kg / 148lb,CAM,Right,79,76,75,80,55,66,22,Portugal,Liga F,FC Barcelona
901,Matt O'Riley,"188cm / 6'2""",77kg / 170lb,CM,Left,69,77,80,77,67,76,24,Denmark,Premier League,Brighton
902,Jonas Omlin,"190cm / 6'3""",85kg / 187lb,GK,Right,79,77,76,82,52,75,31,Switzerland,Bundesliga,M'gladbach
903,Maite Oroz,"155cm / 5'1""",49kg / 108lb,CM,Right,77,66,76,83,63,73,26,Spain,Liga F,Real Madrid CF
904,Salma Paralluelo,"175cm / 5'9""",68kg / 150lb,LW,Left,93,79,71,80,45,76,21,Spain,Liga F,FC Barcelona
905,Jess Park,"161cm / 5'3""",56kg / 123lb,RW,Right,84,70,71,83,41,58,23,England,Barclays WSL,Manchester City
906,Julie Pasquereau,"176cm / 5'9""",64kg / 141lb,CB,Right,56,38,65,60,80,80,30,France,Arkema PL,FC Nantes
907,Toni Payne,"161cm / 5'3""",55kg / 121lb,RM,Right,89,73,74,77,72,81,29,Nigeria,Barclays WSL,Everton
908,Ayoze Pérez,"178cm / 5'10""",72kg / 159lb,LM,Right,78,73,76,82,58,65,31,Spain,LALIGA EA SPORTS,Villarreal CF
909,Mattia Perin,"188cm / 6'2""",77kg / 170lb,GK,Right,79,79,71,81,57,79,32,Italy,Serie A Enilive,Juventus
910,Matteo Pessina,"187cm / 6'2""",77kg / 170lb,CM,Left,68,70,77,78,72,71,27,Italy,Serie A Enilive,Monza
911,Lena Petermann,"175cm / 5'9""",65kg / 143lb,ST,Right,69,80,66,74,43,75,31,Germany,Barclays WSL,Leicester City
912,Đorđe Petrović,"194cm / 6'4""",88kg / 194lb,GK,Right,79,78,73,81,41,77,25,Serbia,Ligue 1 McDonald's,Strasbourg
913,Ethan Pinnock,"194cm / 6'4""",79kg / 174lb,CB,Left,67,36,56,61,81,83,31,Jamaica,Premier League,Brentford
914,Yeremy Pino,"172cm / 5'8""",60kg / 132lb,LM,Right,76,73,76,79,38,46,22,Spain,LALIGA EA SPORTS,Villarreal CF
915,Nichelle Prince,"163cm / 5'4""",65kg / 143lb,RM,Right,82,73,72,79,40,57,30,Canada,NWSL,KC Current
916,Soufiane Rahimi,"181cm / 5'11""",79kg / 174lb,LM,Right,85,77,73,78,38,66,28,Morocco,United Emirates League,Al Ain FC
917,Gonçalo Ramos,"185cm / 6'1""",82kg / 181lb,ST,Right,76,77,64,77,47,81,23,Portugal,Ligue 1 McDonald's,Paris SG
918,Antonee Robinson,"182cm / 6'0""",70kg / 154lb,LB,Left,88,46,71,77,74,77,27,United States,Premier League,Fulham
919,Rocky Rodríguez,"165cm / 5'5""",63kg / 139lb,CDM,Right,50,76,77,79,73,84,31,Costa Rica,NWSL,Angel City FC
920,Cinta Rodríguez,"178cm / 5'10""",67kg / 148lb,CB,Right,72,46,69,67,80,79,25,Spain,Liga F,UD Tenerife
921,Kaku,"171cm / 5'7""",67kg / 148lb,CAM,Left,81,72,81,80,52,64,30,Paraguay,United Emirates League,Al Ain FC
922,Oriol Romeu,"183cm / 6'0""",83kg / 183lb,CDM,Right,40,54,68,67,79,81,33,Spain,LALIGA EA SPORTS,Girona FC
923,Valentin Rongier,"172cm / 5'8""",67kg / 148lb,CDM,Right,65,65,75,78,75,78,30,France,Ligue 1 McDonald's,OM
924,Frederik Rønnow,"188cm / 6'2""",81kg / 179lb,GK,Right,79,79,69,81,47,78,32,Denmark,Bundesliga,Union Berlin
925,Gerónimo Rulli,"189cm / 6'2""",84kg / 185lb,GK,Right,78,76,80,81,54,79,32,Argentina,Ligue 1 McDonald's,OM
926,Julian Ryerson,"183cm / 6'0""",82kg / 181lb,RB,Right,75,63,70,76,76,80,27,Norway,Bundesliga,Borussia Dortmund
927,María Sánchez,"163cm / 5'4""",52kg / 115lb,LM,Left,85,72,75,79,43,70,29,Mexico,NWSL,San Diego Wave
928,Pape Matar Sarr,"184cm / 6'0""",70kg / 154lb,CDM,Right,70,65,75,78,76,75,22,Senegal,Premier League,Spurs
929,Gianluca Scamacca,"195cm / 6'5""",85kg / 187lb,ST,Right,65,81,67,74,36,74,26,Italy,Serie A Enilive,Bergamo Calcio
930,Perr Schuurs,"191cm / 6'3""",85kg / 187lb,CB,Right,69,64,74,69,81,74,25,Holland,Serie A Enilive,Torino
931,Benjamin Šeško,"195cm / 6'5""",85kg / 187lb,ST,Right,85,78,63,77,46,78,21,Slovenia,Bundesliga,RB Leipzig
932,Risa Shimizu,"160cm / 5'3""",47kg / 104lb,RB,Right,81,53,71,71,78,60,28,Japan,Barclays WSL,Manchester City
933,Mário Rui,"170cm / 5'7""",67kg / 148lb,LB,Left,80,56,77,80,74,68,33,Portugal,Serie A Enilive,SSC Napoli
934,Wilfried Singo,"190cm / 6'3""",79kg / 174lb,CB,Right,77,57,70,73,77,83,24,Côte d'Ivoire,Ligue 1 McDonald's,AS Monaco
935,Łukasz Skorupski,"188cm / 6'2""",90kg / 198lb,GK,Right,79,76,68,83,51,78,33,Poland,Serie A Enilive,Bologna
936,Katja Snoeijs,"172cm / 5'8""",63kg / 139lb,ST,Right,80,81,66,79,43,69,28,Holland,Barclays WSL,Everton
937,Tomáš Souček,"192cm / 6'4""",86kg / 190lb,CDM,Right,50,72,71,68,80,83,30,Czech Republic,Premier League,West Ham
938,Leonardo Spinazzola,"186cm / 6'1""",75kg / 165lb,LM,Right,88,65,74,79,76,69,31,Italy,Serie A Enilive,SSC Napoli
939,Sofie Svava,"173cm / 5'8""",67kg / 148lb,LB,Left,83,53,72,77,76,79,24,Denmark,Arkema PL,OL
940,Kateřina Svitková,"167cm / 5'6""",60kg / 132lb,CAM,Right,74,76,76,83,71,69,28,Czech Republic,Ceska Liga Žen,Slavia Praha
941,António Silva,"187cm / 6'2""",82kg / 181lb,CB,Right,80,37,64,69,79,80,21,Portugal,Liga Portugal,SL Benfica
942,Pietro Terracciano,"193cm / 6'4""",78kg / 172lb,GK,Right,80,77,73,83,41,79,35,Italy,Serie A Enilive,Fiorentina
943,Martin Terrier,"184cm / 6'0""",71kg / 157lb,ST,Right,82,80,75,79,36,72,28,France,Bundesliga,Leverkusen
944,Kieran Tierney,"180cm / 5'11""",73kg / 161lb,LB,Left,80,60,75,77,76,75,27,Scotland,Premier League,Arsenal
945,Jurriën Timber,"179cm / 5'10""",78kg / 172lb,CB,Right,78,47,67,76,80,78,23,Holland,Premier League,Arsenal
946,Quinten Timber,"179cm / 5'10""",71kg / 157lb,CM,Right,77,76,75,79,75,81,23,Holland,Eredivisie,Feyenoord
947,Rafael Tolói,"185cm / 6'1""",75kg / 165lb,CB,Right,61,52,58,64,81,79,34,Italy,Serie A Enilive,Bergamo Calcio
948,Paula Tomás,"170cm / 5'7""",61kg / 134lb,LB,Right,82,49,75,76,77,76,23,Spain,Barclays WSL,Aston Villa
949,Maddi Torre,"172cm / 5'8""",61kg / 134lb,CB,Right,63,56,76,70,82,74,28,Spain,Liga F,Athletic Club
950,Phallon Tullis-Joyce,"185cm / 6'1""",61kg / 134lb,GK,Right,80,74,75,80,44,80,28,United States,Barclays WSL,Manchester Utd
951,Edin Višća,"172cm / 5'8""",63kg / 139lb,RM,Right,82,78,76,81,47,63,35,Bosnia and Herzegovina,Trendyol Süper Lig,Trabzonspor
952,Nikola Vlašić,"179cm / 5'10""",79kg / 174lb,CAM,Right,75,76,76,82,58,72,27,Croatia,Serie A Enilive,Torino
953,Aaron Wan-Bissaka,"183cm / 6'0""",72kg / 159lb,RB,Right,82,51,68,77,77,72,27,England,Premier League,West Ham
954,Wang Shuang,"165cm / 5'5""",59kg / 130lb,RW,Left,84,78,74,79,42,71,30,China PR,Barclays WSL,Spurs
955,James Ward-Prowse,"173cm / 5'8""",66kg / 146lb,CM,Right,57,73,86,75,66,72,30,England,Premier League,Nott'm Forest
956,Morgan Weaver,"178cm / 5'10""",65kg / 143lb,LW,Right,83,78,77,78,45,77,27,United States,NWSL,Portland Thorns
957,Julian Weigl,"186cm / 6'1""",77kg / 170lb,CDM,Right,54,64,76,75,74,73,29,Germany,Bundesliga,M'gladbach
958,Yoane Wissa,"176cm / 5'9""",74kg / 163lb,LW,Right,85,79,70,79,29,71,28,Congo DR,Premier League,Brentford
959,Arin Wright,"168cm / 5'6""",60kg / 132lb,CB,Right,66,54,67,75,80,77,32,United States,NWSL,Rac. Louisville
960,Denis Zakaria,"190cm / 6'3""",81kg / 179lb,CDM,Right,80,67,72,76,78,84,28,Switzerland,Ligue 1 McDonald's,AS Monaco
961,Davide Zappacosta,"182cm / 6'0""",75kg / 165lb,LB,Right,76,68,74,75,76,70,32,Italy,Serie A Enilive,Bergamo Calcio
962,Edon Zhegrova,"181cm / 5'11""",66kg / 146lb,RM,Left,85,71,76,82,25,62,25,Kosovo,Ligue 1 McDonald's,LOSC Lille
963,Oleksandr Zinchenko,"175cm / 5'9""",64kg / 141lb,LB,Left,66,66,83,82,76,69,28,Ukraine,Premier League,Arsenal
964,Joshua Zirkzee,"193cm / 6'4""",89kg / 196lb,ST,Right,73,77,72,83,37,73,23,Holland,Premier League,Man Utd
965,Carlos Augusto,"184cm / 6'0""",75kg / 165lb,LM,Left,81,72,77,80,75,80,26,Brazil,Serie A Enilive,Lombardia FC
966,Saud Abdulhamid,"175cm / 5'9""",70kg / 154lb,RB,Right,92,46,67,72,71,77,25,Saudi Arabia,Serie A Enilive,AS Roma
967,Tammy Abraham,"195cm / 6'5""",86kg / 190lb,ST,Right,78,76,65,75,36,77,27,England,Serie A Enilive,Milano FC
968,Tosin Adarabioyo,"196cm / 6'5""",80kg / 176lb,CB,Right,72,35,63,63,78,78,27,England,Premier League,Chelsea
969,Amine Adli,"174cm / 5'9""",72kg / 159lb,ST,Left,83,76,69,82,42,74,24,Morocco,Bundesliga,Leverkusen
970,Joseph Aidoo,"181cm / 5'11""",80kg / 176lb,CB,Right,75,27,47,50,77,88,29,Ghana,LALIGA EA SPORTS,RC Celta
971,Laia Aleixandri,"170cm / 5'7""",55kg / 121lb,CB,Right,75,30,58,54,79,73,24,Spain,Barclays WSL,Manchester City
972,Miguel Almirón,"174cm / 5'9""",70kg / 154lb,RW,Left,87,75,73,80,57,65,31,Paraguay,Premier League,Newcastle Utd
973,Nadiem Amiri,"180cm / 5'11""",75kg / 165lb,CM,Right,67,74,80,82,60,69,28,Germany,Bundesliga,1. FSV Mainz 05
974,Sofyan Amrabat,"183cm / 6'0""",77kg / 170lb,CDM,Right,65,69,73,75,74,80,28,Morocco,Trendyol Süper Lig,Fenerbahçe
975,Filippa Angeldahl,"170cm / 5'7""",63kg / 139lb,CM,Right,74,66,75,77,68,67,27,Sweden,Liga F,Real Madrid CF
976,Michail Antonio,"180cm / 5'11""",82kg / 181lb,ST,Right,77,74,72,76,54,82,34,Jamaica,Premier League,West Ham
977,Mauro Arambarri,"175cm / 5'9""",74kg / 163lb,CDM,Right,60,65,72,74,78,78,29,Uruguay,LALIGA EA SPORTS,Getafe CF
978,Cristian Arango,"178cm / 5'10""",78kg / 172lb,ST,Right,75,79,71,77,36,74,30,Colombia,MLS,Real Salt Lake
979,Ana Vitória,"173cm / 5'8""",59kg / 130lb,CAM,Right,73,72,76,79,51,69,25,Brazil,Liga F,Atlético de Madrid
980,Benoît Badiashile,"194cm / 6'4""",75kg / 165lb,CB,Left,62,47,67,60,78,77,23,France,Premier League,Chelsea
981,Antonín Barák,"190cm / 6'3""",86kg / 190lb,CM,Left,69,77,79,79,65,73,30,Czech Republic,Trendyol Süper Lig,Kasımpaşa
982,Ricardo Pereira,"175cm / 5'9""",70kg / 154lb,RB,Right,73,66,76,77,77,71,31,Portugal,Premier League,Leicester City
983,Melvin Bard,"173cm / 5'8""",65kg / 143lb,LB,Left,78,52,69,74,75,76,24,France,Ligue 1 McDonald's,OGC Nice
984,Ross Barkley,"186cm / 6'1""",76kg / 168lb,CM,Right,53,75,78,77,63,74,31,England,Premier League,Aston Villa
985,Marc Bartra,"184cm / 6'0""",73kg / 161lb,CB,Right,68,61,71,72,78,75,34,Spain,LALIGA EA SPORTS,Real Betis
986,Sharon Beck,"180cm / 5'11""",68kg / 150lb,CAM,Left,75,75,74,80,62,80,29,Israel,GPFBL,SV Werder Bremen
987,Maximilian Beier,"185cm / 6'1""",72kg / 159lb,ST,Right,89,79,65,79,26,60,22,Germany,Bundesliga,Borussia Dortmund
988,Andrea Belotti,"181cm / 5'11""",84kg / 185lb,ST,Right,69,77,58,75,38,80,31,Italy,Serie A Enilive,Como
